titulo,empresa,descripcion,fecha,tecnologias,link
Tecnology Risk IT Auditor,EY,"Junior/Staff IT Auditor 

Our Business Consulting - Technology Risk team support to the Financial Audit in account analysis of applications, systems and IT solutions, in ...SAPOracle",,"SAP, Oracle",https://www.tecnoempleo.com/tecnology-risk-it-auditor-ey/sap-oracle/rf-a2fe1631c27273a8a740
Data Scientist Credit Modelling,BNP Paribas,"GROUP BNP PARIBAS 

BNP Paribas Group is the top bank in the European Union and a major international banking establishment. It has close to 185,000 employees in 65 ...Python",,Python,https://www.tecnoempleo.com/data-scientist-credit-modelling-bnp-paribas/python/rf-03541bf482c843407946
Desarrollador Java BackEnd,sg tech,"¡Hola, comunidad tech! 

En SG Tech, estamos en búsqueda de un apasionado Desarrollador Java BackEnd con una sólida trayectoria en el desarrollo de aplicaciones bancarias...javaJPA",,"java, JPA",https://www.tecnoempleo.com/desarrollador-java-backend-sg-tech/java-jpa/rf-7791124942ba630e4945
Data Solutions Architect,Santander,"Data Solutions Architect - SCF GS

Country: Spain

SCF GS está buscando un/a DATA SOLUTIONS ARCHITECT para nuestras oficinas en BOADILLA DEL MONTE (MADRID).

POR QUÉ ...azureAWSOracle",,"azure, AWS, Oracle",https://www.tecnoempleo.com/data-solutions-architect-santander/azure-aws-oracle-etl-powerbi/rf-24e610d7623b53d0bd4a
Ingeniero/ Devops Junior,sg tech,"En SG TECH necesitamos un perfil de Devops, con mínimo dos años de experiencia tanto en on premise como con cloud principalmente con AWS. 

Buscamos perfiles con ...AWS",,AWS,https://www.tecnoempleo.com/ingeniero-devops-junior-sg-tech/aws/rf-77be120ce2f3b331f540
Recruiter IT Senior,sg tech,"En SgTech, empresa del grupo HPS con presencia internacional y especializada en servicios de outsourcing, consultoría y tecnología, estamos buscando incorporar un/a ...rrhh",,rrhh,https://www.tecnoempleo.com/recruiter-it-senior-sg-tech/rrhh/rf-fef011ced2e09338184e
Programador/a Java + Unix + Shellscript,sg tech,"En Sg Tech, una empresa líder en soluciones tecnológicas para el sector bancario, estamos en búsqueda de un Developer Java bajo UNIX con al menos 3 años de experiencia en ...JavaUnixShellscript",,"Java, Unix, Shellscript",https://www.tecnoempleo.com/programador-java-unix-shellscript-sg-tech/java-unix-shellscript/rf-11881866a269d363464d
Software Engineer - Release Platforms,Datadog,The Release Platforms team builds the systems that enable developers to reliably ship their code to production every day. As a Senior Software Engineer you will both write ...KubernetesGolang,,"Kubernetes, Golang",https://www.tecnoempleo.com/software-engineer-release-platforms-datadog/kubernetes-golang/rf-82a21ebe826673b7374e
Programador/a PLC (junior),Akkodis,"¿Te apetece un nuevo reto profesional como Programador/a de PLC en una empresa especializada en el desarrollo, diseño e implementación de sistemas y soluciones de ...PLCSiemens",,"PLC, Siemens",https://www.tecnoempleo.com/programador-plc-junior-akkodis/plc-siemens/rf-4abb10e992bcd34eea46
"Data Analyst EMEA, Retail Media",Criteo,"What You´ll Do:

The Retail Media EMEA Analytics team, part of the rapidly expanding Criteo Retail Media business, leverages our grand set of shopper data to design and ...SQLHadoopVertica",,"SQL, Hadoop, Vertica",https://www.tecnoempleo.com/data-analyst-emea-retail-media-criteo/sql-hadoop-vertica-pyspark/rf-0c651c3dc236d33f434e
Application Security Engineer,Oracle,"Responds to security events, identifying possible intrusions and responding in line with Oracle incident response playbooks.
Assist in development of incident response ...Oracle",,Oracle,https://www.tecnoempleo.com/application-security-engineer-oracle/oracle/rf-a8e914e4925623e38648
Senior Java/Kafka Developer,Talan,"For the 4th consecutive year, Talan Spain has been recognized as a Great Place to Work! This year, we´re also celebrating our 2nd certification in Poland, a significant ...javaKafka",,"java, Kafka",https://www.tecnoempleo.com/senior-java-kafka-developer-talan/java-kafka/rf-53bc19f8b2b9b3531c4f
Ingeniero/a de requisitos IOT,Page Personnel,"Perfil buscado (Hombre/Mujer)

• Recopilar, analizar, documentar y gestionar los requisitos funcionales y no funcionales del sistema.
• Asegurar la trazabilidad de los ...IOTGitDOORS",,"IOT, Git, DOORS",https://www.tecnoempleo.com/ingeniero-requisitos-iot-page-personnel/iot-git-doors-alm/rf-b10112d17261c3d3d643
Ingeniero/a Salesforce Marketing Cloud,Tuyú Technology,"🚀 ¡Impulsa tu carrera con TUYÚ Technology! 🚀 

¿Te apasiona la tecnología y buscas un desafío que realmente marque la diferencia? Buscamos un/a Ingeniero/a de ...SalesforceAPIREST/SOAP",,"Salesforce, API, REST/SOAP",https://www.tecnoempleo.com/ingeniero-salesforce-marketing-cloud-tuyu-technolo/salesforce-api-rest-soa/rf-73c1178012a1a3d2a047
Scrum Master. Inglés C1,Second Window,"Te ofrecemos crecer con nosotros en una de nuestras unidades tecnológicas como Scrum Master, en una posición estable y a largo plazo, en modalidad 100% remoto.


Se trabaja ...ScrumLeanKanban",,"Scrum, Lean, Kanban",https://www.tecnoempleo.com/scrum-master-ingles-c1-second-window/scrum-lean-kanban/rf-ccc1151bf2fc43649545
Data Engineer Scala Spark,Grupo Digital,"From Grupo Digital, we are looking for a Data Engineer Scala Spark for a stable project.

Location: Madrid.

Full remote.

Salary to be negotiated based on experience.

...scalaspark",,"scala, spark",https://www.tecnoempleo.com/data-engineer-scala-spark-grupo-digital/scala-spark/rf-1db010b902304380014d
Analista Programador Abap,Grupo Digital,"Desde Grupo Digital, buscamos un/a Analista Programador/a Abap para formar parte de nuestro equipo y colaborar con uno de nuestros clientes.

Ubicación: cualquier ubicación ...ABAP",,ABAP,https://www.tecnoempleo.com/analista-programador-abap-grupo-digital/abap/rf-e34d1e60a2b0c3c82545
Consultor/a SAP FI-CO,Grupo Digital,"Desde Grupo Digital, buscamos un/a Consultor/a SAP FI-CO para formar parte de nuestro equipo y colaborar con uno de nuestros clientes.

Ubicación: cualquier ubicación Españ...SAP",,SAP,https://www.tecnoempleo.com/consultor-sap-fi-co-grupo-digital/sap/rf-761e11e9426ea322e043
System Designer,HAYS,"Tu nueva empresa

Empresa especializada en automatización e intralogística, con sede en Barcelona, requiere incorporar un/a System Engineer.

Tu nuevo puesto

Como ...OraclePL/SQL",,"Oracle, PL/SQL",https://www.tecnoempleo.com/system-designer-hays/oracle-pl-sql/rf-307011db326b93967c47
Data Engineer,HAYS,Desde HAYS estamos colaborando con una empresa dedicada al desarrollo de software avanzado para la mejora de procesos industriales mediante el uso de inteligencia artificial y...PythonTensorFlow,,"Python, TensorFlow",https://www.tecnoempleo.com/data-engineer-hays/python-tensorflow/rf-500d130672b063b7504d
Especialista en Marketing,HAYS,"Desde Hays estamos en búsqueda de un perfil Especialista en Marketing Estratégico y Digital, para una empresa líder en el desarrollo de sensores avanzados que permiten a ...marketingSEOSEM",,"marketing, SEO, SEM",https://www.tecnoempleo.com/especialista-en-marketing-hays/marketing-seo-sem/rf-61711c2d32069392ff4e
Consultor Netreveal,Page Personnel,"Perfil buscado (Hombre/Mujer)

• Implementación y configuración de la solución Netreveal.
• Colaboración en el diseño técnico y funcional de la solución.
• ...Netreveal",,Netreveal,https://www.tecnoempleo.com/consultor-netreveal-page-personnel/netreveal/rf-a4a21a9d6272131cc74c
Prácticas departamento de Administración,LÃBERIT,"¡Ampliamos nuestro equipo de administración!

Estamos buscando dos estudiantes con posibilidad de realizar prácticas (imprescindible convenio de prácticas). Si te ...Business Central",,Business Central,https://www.tecnoempleo.com/practicas-departamento-administracion-l-berit/business-central/rf-792e14ca22e8b36d2844
Analista/Desarrollador,EUROVAL,"📍 Ubicación: Modalidad híbrida (San Juan de Alicante)
💰 Salario: 30k - 35k brutos anuales
📝 Contrato indefinido | Estabilidad y crecimiento

¿Te apasiona el ...javasqljavascript",,"java, sql, javascript",https://www.tecnoempleo.com/analista-desarrollador-euroval/java-sql-javascript-azure-angular-git-api/rf-ae631cdb32fe23511b4f
Consultor/a BC,HAYS,"Importante empresa de Bizkaia está en busca de un/a Funcional de Business Central

REQUISITOS:
 - Experiencia de 1 a 3 años en Business Central 
 - Titulación ...Business Central",,Business Central,https://www.tecnoempleo.com/consultor-bc-hays/business-central/rf-39801e7c12e93312ad46
Desarrollador/a de Software,HAYS,"Desde HAYS estamos colaborando con una empresa referente en el sector, en La Rioja, que precisa la incorporación de un perfil de Desarrollador de Software para el área de ...netC#",,"net, C#",https://www.tecnoempleo.com/desarrollador-software-hays/net-c/rf-83e61f5b5292939c2241
Data SCIENCE,Page Personnel,"Perfil buscado (Hombre/Mujer)

• Diseñar y desarrollar modelos analíticos complejos para resolver problemas de negocio.
• Trabajar en estrecha colaboración con las ...PythonRTableau",,"Python, R, Tableau",https://www.tecnoempleo.com/data-science-page-personnel/python-r-tableau/rf-59e61e37928253d6a44d
Big Data Engineer - Data Lake,Santander,"Big Data Engineer - Data Lake (ODS)

Country: Spain

Open Digital Services is the software development company of Santander Group powering the next generation of banks by ...ScalaSparkETL",,"Scala, Spark, ETL",https://www.tecnoempleo.com/big-data-engineer-data-lake-santander/scala-spark-etl-sql/rf-563811b51200d3773a4c
Experienced IT Risk Auditor,EY,"En EY, tendrás la oportunidad de construir una carrera tan única como tú. Con el apoyo de un entorno global y una cultura inclusiva y tecnológica, conseguirás ser la ...ciberseguridadSAP",,"ciberseguridad, SAP",https://www.tecnoempleo.com/experienced-it-risk-auditor-madrid/ciberseguridad-sap/rf-683c1b6d628de3f42e4f
Desarrollador/a Front Angular,Grupo Digital,"Desde Grupo Digital, buscamos un/a Desarrollador/a Front Angular para trabajar con uno de nuestros grandes clientes.

Lugar de trabajo: Valencia.

Modalidad: 100% remto.

...AngularKarmaJasmine",,"Angular, Karma, Jasmine",https://www.tecnoempleo.com/desarrollador-front-angular-grupo-digital/angular-karma-jasmine/rf-6d0d1ef30278a3f83942
SAP UI5/ABAP Developer [german / en],Almato Iberia,En Almato Iberia estamos buscando un SAP UI5/ABAP Developer para unirse a nuestro equipo de consultores para proyectos internacionales. Las principales tareas que se llevarán...saphanafiori,,"sap, hana, fiori",https://www.tecnoempleo.com/sap-ui5-abap-developer-german-en-almato-iberia/sap-hana-fiori-java-javascr/rf-095d14e1a2f3f3b66445
Administrador/a Middleware,PSS,"¿Te gustaría unirte a un departamento formado por personas apasionadas por el mundo de la tecnología? ¿Eres un experto en asumir nuevos retos, y seguir formándote en tu ...MIDDLEWARELINUXWAS",,"MIDDLEWARE, LINUX, WAS",https://www.tecnoempleo.com/administrador-middleware-pss/middleware-linux-was-jboss/rf-445e1972e289d38a6149
Experto/a en Gestión de Identidades,Arelance,En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...IAMISIMTIM,,"IAM, ISIM, TIM",https://www.tecnoempleo.com/experto-en-gestion-identidades-arelance/iam-isim-tim-isvg/rf-174a1c187265233da54a
Consultor/a de Producto - SAP-PO,Arelance,En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...sap pi/posap poamm,,"sap pi/po, sap po, amm",https://www.tecnoempleo.com/consultor-producto-sap-po-arelance/sap-pi-po-sap-po-amm-sap-soporte/rf-64221a0de29043c5494b
Delivery Manager - Live Operations,Aristocrat,"Responsibilities:

* Owning and managing the backlog of all requests coming from live operators and vendors through Tech support, Commercial and external Testing ...JiraConfluence",,"Jira, Confluence",https://www.tecnoempleo.com/delivery-manager-live-operations-aristocrat/jira-confluence/rf-444a1650524be3c3c84c
Product Manager,Aristocrat,"* Owning and managing the company’s Internal and External Tools, by performing ongoing market and business analysis aligned with the goals set by management.  

* Owning...Product Manager",,Product Manager,https://www.tecnoempleo.com/product-manager-aristocrat/product-manager/rf-d7691fdc6256f39c734b
Ingeniero,HAYS,"Perfil Eléctrico de Diseño,

Tu nueva empresa:

Ingeniería estelar con 20 años de trayectoria ubicada en el centro de Madrid especializada en instalaciones y sistemas ...CanecoDMElect",,"Caneco, DMElect",https://www.tecnoempleo.com/ingeniero-hays/caneco-dmelect/rf-e6f1142912d9b32fa94d
Desarrollador Liferay,Krell Consulting & Training,"Desarrollar y mantener aplicaciones y portales utilizando Liferay y React.
Colaborar con equipos multidisciplinarios para diseñar y construir soluciones escalables y ...Lifearyreactscala",,"Lifeary, react, scala",https://www.tecnoempleo.com/desarrollador-liferay-krell-consulting-training/lifeary-react-scala/rf-6afc1933523d7320dd43
Help Desk Software ERP (Freelance),RemoteandTalent,"Como Help Desk Software ERP, serás el primer punto de contacto para nuestros clientes, brindando soporte técnico y funcional sobre el software ERP que desarrollamos. Tu misi...windowssoportehardware",,"windows, soporte, hardware",https://www.tecnoempleo.com/help-desk-software-erp-freelance-remoteandtalent/windows-soporte-hardware/rf-1911159bb29563620b43
Desarrollador JAVA,Bcnc Group,Estamos buscando un Java Senior Software Engineer altamente cualificado y apasionado por la tecnología para unirse a nuestro equipo de desarrollo en cliente del sector retail...JAVAspring bootkafka,,"JAVA, spring boot, kafka",https://www.tecnoempleo.com/desarrollador-java-bcnc-group/java-spring-boot-kafka-microservicios-arquit/rf-0d4c1c91227353f79048
Diseñador hardware,Sedecal,"Requisitos mínimos:

.Ingeniero senior(+5 años de experiencia) electrónica / telecomunicaciones/ industrial.
.Experiencia en diseño de diseño de PCBs basadas en ...hardwarefpgacalid pcb",,"hardware, fpga, calid pcb",https://www.tecnoempleo.com/disenador-hardware-sedecal/hardware-fpga-calid-pcb/rf-6df5125542c82323384f
Modelador BIM,Invoin,En Grupo INVOIN necesitamos incorporar a nuestra plantilla un Modelador BIM para participar en un proyecto estable de sistemas inteligentes de tráfico y transporte en Madrid...RevitNavisworksAutocad,,"Revit, Navisworks, Autocad",https://www.tecnoempleo.com/modelador-bim-invoin/revit-navisworks-autocad-modelos-bim/rf-62bc1754126f43fddd48
"Java Developer (Spring Boot, Kafka)",PSS,¿Te apetece formar parte de una compañía del sector IT? Si estás buscando un proyecto estable y seguir evolucionando en tu carrera profesional acompañado del mejor ...javaspringgit,,"java, spring, git",https://www.tecnoempleo.com/java-developer-spring-boot-kafka-pss/java-spring-git-kubernetes-microservi/rf-4d451c7bc2197357084a
Front end,TRS Staffing Solutions,"En T.R.S. Staffing Solutions seleccionamos a dos personas con experiencia como Frontend Developer.

---Buscamos un perfil senior:

• Inglés fluido, C1.

• Experiencia a ...HTMLCSSJavaScript",,"HTML, CSS, JavaScript",https://www.tecnoempleo.com/front-end-trs-staffing-solutions/html-css-javascript-svelte/rf-a15b10caf2be63d35c41
Modelador/Coordinador BIM,Invoin,"En INVOIN estamos buscando un Modelador/Coordinador BIM para un interesante proyecto en el sector farmacéutico.

Responsabilidades:

✅ Durante las fases de Proyecto ...AutoCADRevitpython",,"AutoCAD, Revit, python",https://www.tecnoempleo.com/modelador-coordinador-bim-invoin/autocad-revit-python/rf-38881164b20ab3816544
AWS DevOps Engineer,Axiom Software Solutions,"JD:

Responsibilities:

An AWS Cloud Platform Engineer will be part of the Gluon Platform team, and their responsibilities

include:

Creation and deployment of the Gluon ...awsazuregit",,"aws, azure, git",https://www.tecnoempleo.com/aws-devops-engineer-axiom-software-solutions/aws-azure-git-kubernetes-dock/rf-a3be110e5235d336aa46
Analista Programador/Data Scientist/BI,Invoin,En Grupo INVOIN necesitamos incorporar a nuestra plantilla un Data Scientist para participar en un proyecto estable de ingeniería de tráfico y transporte en Madrid con ...NodeJSJavaScriptReact,,"NodeJS, JavaScript, React",https://www.tecnoempleo.com/analista-programador-data-scientist-bi-hibrido/nodejs-javascript-react-htm/rf-67431d3912e3b39a5c40
Administrador/a Linux,PSS,¿Te apetece formar parte de una compañía en pleno crecimiento? ¿Y trabajar rodeado del mejor TALENTO en proyectos realmente innovadores? En PSS es posible y nos gustaría ...linux,,linux,https://www.tecnoempleo.com/administrador-linux-pss/linux/rf-62ed1f0b32e14384a04d
Backend Engineer,Krell Consulting & Training,"Exp min: 2-3 años experiencia.
Backend engineer. 
Requisitos indispensables: Java 11. Spring boot 2, con su abanico de librerías (spring jpa, spring security, etc..). 
...JavaSpring boot",,"Java, Spring boot",https://www.tecnoempleo.com/backend-engineer-remoto/java-spring-boot/rf-99da150052dbd37ce345
Desarrollador Full-Stack .NET,Krell Consulting & Training,"🌟 ¡Excelente Oportunidad Laboral!🌟
En Krell Consulting estamos en busca de un Desarrollador Full-Stack .NET para trabajar con uno de nuestros clientes más importantes....netsqlc#",,".net, sql, c#",https://www.tecnoempleo.com/desarrollador-full-stack-net-krell-consulting-trai/net-sql-c-git/rf-59651cd6f2a9438fc043
IT Project Manager Infraestructuras,PSS,"Te gustaría formar parte de una compañía del sector IT? Si estás buscando un proyecto estable y quieres evolucionar en tu carrera profesional junto al mejor talento, ¡...PMP",,PMP,https://www.tecnoempleo.com/it-project-manager-infraestructuras-pss/pmp/rf-4646191e32a4c3c94c41
Systems and Network Technician,Plexus,"Join Plexus Tech. We are seeking a Systems and Network Technician to configure and monitor infrastructure installations.

Requirements:

- Knowledge of network management ...ciscoazure",,"cisco, azure",https://www.tecnoempleo.com/systems-and-network-technician-plexus/cisco-azure/rf-65ab1380921823498c4b
SEO Specialist,Axiom Software Solutions,"Job Title: SEO Specialist (Senior 4-7 Years) – Rate: 200 SEK/Hr.
Location: Malmö, Sweden
Working mode: Hybrid
Duration: 6-12 month contract

Background:
We aim to ...SEO",,SEO,https://www.tecnoempleo.com/seo-specialist-axiom-software-solutions/seo/rf-86f91159d22513c0be44
Consultor/a Senior,Krell Consulting & Training,"Descripción
En Krell Consulting buscamos un/a Key Account Manager Senior con experiencia en la venta de servicios IT en grandes cuentas del sector ...SAP",,SAP,https://www.tecnoempleo.com/consultor-senior-krell-consulting-training/sap/rf-b19716bb627503f2254f
SC Cleared AWS Cloud Architect,Axiom Software Solutions,"Role: SC Cleared AWS Cloud Architect [Mandatory Criteria]  
Job Type: Contract  
Duration: 6 Months + likely to be extended  
Work Location: ideally commutable to London, ...AWSSQLlinux",,"AWS, SQL, linux",https://www.tecnoempleo.com/sc-cleared-aws-cloud-architect-axiom-software-solu/aws-sql-linux/rf-c9ce1ae3f280f3d05b40
Desarrolladores Tibco MdW,Krell Consulting & Training,"Descripción
En Krell Consulting, nos encontramos en la búsqueda de 5 Desarrolladores TIBCO MDW, para unirse a nuestro equipo, para proyecto de nuevo comienzo y larga duraci...tibcoBusiness Works",,"tibco, Business Works",https://www.tecnoempleo.com/desarrolladores-tibco-mdw-madrid/tibco-business-works/rf-da8c1b81d24b034a9240
Functional & Automation QA,Axiom Software Solutions,"Skill and task to be completed

Hello! Welcome to the place responsible for developing the technology that improves the lives of 160 million customers around the world! This...JUnitMockitoJavascript",,"JUnit, Mockito, Javascript",https://www.tecnoempleo.com/functional-automation-qa-axiom-software-solutions/junit-mockito-javascript/rf-22cd1e0bc2471368e740
Ciberseguridad Gestión Identidades,Michael Page,"Perfil buscado (Hombre/Mujer)


Responsabilidades principales:

• Instalación una solución de gobierno de identidades
• Integración de la herramienta de gobierno de ...ISIMIGI",,"ISIM, IGI",https://www.tecnoempleo.com/ciberseguridad-gestion-identidades-michael-page/isim-igi/rf-163e1110b247637e7045
Junior Java Developer,Talan,"For the 4th consecutive year, Talan Spain has been recognized as a Great Place to Work! This year, we´re also celebrating our 2nd certification in Poland, a significant ...javagit",,"java, git",https://www.tecnoempleo.com/junior-java-developer-talan/java-git/rf-5f1611ae42bac330ff4a
SAP supply chain consultant,Axiom Software Solutions,"Job Title: SAP Supply Chain Consultant  
Location: Germany  
Fully remote opportunity with some occasional travel  
B2B contract role  

Job Description:  

We are ...SAP",,SAP,https://www.tecnoempleo.com/sap-supply-chain-consultant-axiom-software-solutio/sap/rf-2979136b12fa433a4746
UX/UI Designer,Axiom Software Solutions,"Job Title: UX/UI Designer (Senior 4-7 Years)
Location: Sweden/US 
Working Mode: Hybrid/Remote
Duration: 6-12 month contract

Location: SE OR US-based consultants is of ...UX/UIFigma",,"UX/UI, Figma",https://www.tecnoempleo.com/ux-ui-designer-axiom-software-solutions/ux-ui-figma/rf-488014c432f6733d624f
Junior Java Developer,Talan,"For the 4th consecutive year, Talan Spain has been recognized as a Great Place to Work! This year, we´re also celebrating our 2nd certification in Poland, a significant ...javagit",,"java, git",https://www.tecnoempleo.com/junior-java-developer-talan/java-git/rf-2b301f8f82d0934d1748
IBM MDM Architect,Axiom Software Solutions,"Job Title: IBM MDM Architect  
Location: Stratford Upon Avon, UK  
Duration: 6-month FTC/contract  
Working Mode: Hybrid (2-3 days onsite per week)  

Job Description...IBMETL",,"IBM, ETL",https://www.tecnoempleo.com/ibm-mdm-architect-axiom-software-solutions/ibm-etl/rf-efb4148b52b753f1544c
Java developer Microservices,Plexus,"Join Plexus Tech. We are looking for new colleagues with at least 4 years of experience in Java development with SpringBoot. 

Requirements: 

- Development of Java-based ...javaspring",,"java, spring",https://www.tecnoempleo.com/java-developer-microservices-plexus/java-spring/rf-97d314cef29cb3381e47
Desarrollador/a de Software Senior,LÃBERIT,"Laberit es una empresa tecnológica de soluciones digitales donde nos gusta trabajar con personas inquietas, que disfrutan superando retos y buscan crear soluciones que ...C++C#",,"C++, C#",https://www.tecnoempleo.com/desarrollador-software-senior-l-berit/c-c/rf-5d191fa0c24bd35a9248
IT Platform Cloud Engineer,Axiom Software Solutions,"Job Title: IT Platform Cloud Engineer  
Contract duration: 6-12 months contract  
Location: Portugal ONLY. We are open for remote working in Portugal, and consultants are ...PythonBashPowerShell",,"Python, Bash, PowerShell",https://www.tecnoempleo.com/it-platform-cloud-engineer-axiom-software-solution/python-bash-powershell-/rf-21061808f2c39394834d
Automation Engineer,Axiom Software Solutions,"Automation Engineer Data Warehouse

With your work as an Automation Engineer at Bank, you contribute to consistent and automated ETL flows in data warehouses. This ensures ...ETLSQLPython",,"ETL, SQL, Python",https://www.tecnoempleo.com/automation-engineer-axiom-software-solutions/etl-sql-python/rf-deaa1647e25033336f43
Big Data Developer - Data Engineer,Plexus,"Join Plexus Tech. We´re looking for Big Data professionals to join our team and be part of our cutting-edge international projects.

Requirements:
 
- Experience ...ETLJavaPython",,"ETL, Java, Python",https://www.tecnoempleo.com/big-data-developer-data-engineer-plexus/etl-java-python-scala-sql/rf-351e1719924ec37d644b
Senior Endur Techno Functional,Axiom Software Solutions,"Job description

– This lead will drive the project in various roles including Technical Lead, Development Lead, Solution Architect and Techno-functional SME. He/She will ...JVSSQL",,"JVS, SQL",https://www.tecnoempleo.com/senior-endur-techno-functional-axiom-software-solu/jvs-sql/rf-7c6d1258b2ab33241648
Data Analyst,Axiom Software Solutions,"Job Title: Data Analyst  
Location: Malmo, Sweden  
Duration: 6-12 month contract  
Experience: 4-7 Years  
Working Mode: Hybrid  

Location: Malmö (whenever required...SQLBigQueryGCP",,"SQL, BigQuery, GCP",https://www.tecnoempleo.com/data-analyst-axiom-software-solutions/sql-bigquery-gcp/rf-52c618b6e28f13777d44
IT Project Manager,Axiom Software Solutions,"One dedicated Technical Project Manager, who understands the Infrastructure Technology and should work with different Projects Managers being their Infrastructural referent, ...Project ManagerSAP",,"Project Manager, SAP",https://www.tecnoempleo.com/it-project-manager-axiom-software-solutions/project-manager-sap/rf-35c110a4a20b5372854c
OCI Platform Admin,Axiom Software Solutions,"Role: OCI Platform Admin Snr. Engineer  
Job Type: Contract  
Day Rate: £500/day [Inside IR35]  
Duration: 6 Months  
Work Location: London, United Kingdom  

Programme...OCI",,OCI,https://www.tecnoempleo.com/oci-platform-admin-axiom-software-solutions/oci/rf-666d1e88d28eb3afb745
Consultor/a Senior,Nextret,"En NexTReT buscamos un/a Consultor/a Senior para incorporarse a proyectos estratégicos en el ámbito de los servicios TIC de importante cliente del sector público.

Se trata...PHPhtmlApache",,"PHP, html, Apache",https://www.tecnoempleo.com/consultor-senior-nextret/php-html-apache-nginx-confluence/rf-5742142a32e97368214b
SAP FICO Finance Consultant,Axiom Software Solutions,"Job Description  
• Experience: 10-15 years in SAP FICO.  
• Implementation Expertise: At least 1-2 full-cycle implementations and rollouts of S/4HANA Finance.  
• ...SAP",,SAP,https://www.tecnoempleo.com/sap-fico-finance-consultant-axiom-software-solutio/sap/rf-51c3182ce2be03078c47
Pega LSA,Axiom Software Solutions,"JRole - PEGA LSA (Pega Certified Lead System Architect (CLSA) certification)  
Location – Amsterdam, Netherlands  
Working Type – Onsite working mode (5 Days a week)  
...Pegajava",,"Pega, java",https://www.tecnoempleo.com/pega-lsa-axiom-software-solutions/pega-java/rf-d8f31fee32ede3ed5b4d
Senior Java Developer,Axiom Software Solutions,"**Requirements**

**Critical:**
- Ideally capable of going to office a bare minimum of 2 days a week in Malaga.
- Spanish language needed.
- *No security knowledge really...javaspring",,"java, spring",https://www.tecnoempleo.com/senior-java-developer-axiom-software-solutions/java-spring/rf-155a1945e2b2239f5842
M365 Security Engineer,HAYS,"Desde HAYS estamos trabajando dos posiciones para un Partner Gold de Microsoft en Barcelona, que está en momento de crecimiento y busca perfiles especialistas para sus ...azurePurviewIntune",,"azure, Purview, Intune",https://www.tecnoempleo.com/m365-security-engineer-hays/azure-purview-intune/rf-afea1b97827f7315b345
Security Consultant,Axiom Software Solutions,We are seeking a skilled Security Consultant specializing in Data Loss Prevention (DLP) and Data Lifecycle Management (DLM) within Microsoft 365 and Microsoft Purview ...DLPMicrosoft 365,,"DLP, Microsoft 365",https://www.tecnoempleo.com/security-consultant-axiom-software-solutions/dlp-microsoft-365/rf-ec4416ac12af23dc8345
Test Engineer-TOSCA,Axiom Software Solutions,"Job Title: Test Engineer - TOSCA
Location: Munich, Germany
Job Type: B2b contract/FTC/FTE
Work Mode: Hybrid/Remote (Across EU)
Language: Native German Speaker

The Test ...TOSCA",,TOSCA,https://www.tecnoempleo.com/test-engineer-tosca-axiom-software-solutions/tosca/rf-386c1ec4425ff3cc7a40
Auditor/a Senior,Michael Page,"Perfil buscado (Hombre/Mujer)

• Desarrollar e implementar la normativa ISO 9001 en toda la organización.  
• Analizar y documentar procesos internos para alinearlos ...ISOLeanKaizen",,"ISO, Lean, Kaizen",https://www.tecnoempleo.com/auditor-senior-michael-page/iso-lean-kaizen/rf-2f0114160229a3de4844
Ops Tools Senior DevOps Engineer,Axiom Software Solutions,"JD:
Contract role with inside IR 35
Location: UK (Fully Remote)
Platform BTP, Gardner, IAS Development Engineer
· University degree in computer science, engineering, or a...AWSSAPAnsible",,"AWS, SAP, Ansible",https://www.tecnoempleo.com/ops-tools-senior-devops-engineer-axiom-software-so/aws-sap-ansible-chef-te/rf-628f1158e20ce3942048
Consultor SAP SD Senior,Michael Page,"Perfil buscado (Hombre/Mujer)


• Participarás en el mantenimiento preventivo en el módulo de SAP MM.
• Colaborar con otros departamentos para entender sus necesidades y...saphana",,"sap, hana",https://www.tecnoempleo.com/consultor-sap-sd-senior-michael-page/sap-hana/rf-8cd4154872bf1316cd41
Analista Programador/a COBOL,Krell Consulting & Training,"Descripción  
📢 Buscamos un Analista Programador/a COBOL – Sector Seguros (Remoto)  
En Krell Consulting estamos buscando dos Analistas Programadores/as COBOL con só...cobolDB2",,"cobol, DB2",https://www.tecnoempleo.com/analista-programador-cobol-krell-consulting-traini/cobol-db2/rf-cfb31de53264c36d1646
Desarrollador Angular Senior,Michael Page,"Perfil buscado (Hombre/Mujer)


• Desarrollar y mantener aplicaciones web utilizando Angular (versión 11 o superior).

• Implementar interfaces de usuario interactivas...AndroidTypeScriptHTML",,"Android, TypeScript, HTML",https://www.tecnoempleo.com/desarrollador-angular-senior-michael-page/android-typescript-html/rf-366c194a82a423be7f4f
Software Development Manager,Amazon,"The Customer Reviews team shapes products and technology used daily by millions of people around the world. The team is responsible for many central Amazon experiences, ...software",,software,https://www.tecnoempleo.com/software-development-manager-amazon/software/rf-a91a1266b227331d2f49
