titulo,tipo_puesto,tecnologias_x,jornada,es_remoto,link
Programador/a Fullstack Cornerstone,Programador,"HTML,CSS",Jornada completa,False,https://www.tecnoempleo.com/programador-fullstack-cornerstone-nextret/html-css/rf-99dc1fa142dc63e59b4d
Jefe/a de Produccion,Ingenieros/Industria,Igeieiaidusial,Jornada completa,False,https://www.tecnoempleo.com/jefe-produccion-michael-page/ingenieria-industrial/rf-6d78117be2c6e34f7648
Desarrollador/a Java,Programador,"java,spig,SQL",Jornada completa,False,https://www.tecnoempleo.com/desarrollador-java-grupo-digital/java-spring-sql/rf-a7151852e2f5836ad74b
Tester (Project Rewire),Tester,"Playwigh,Cypess,Posma",Jornada completa,False,https://www.tecnoempleo.com/tester-project-rewire-axiom-software-solutions/playwright-cypress-postman/rf-cefc131a62dc13209b4c
Analista Programador/a Java,Analista Programador,"Java,Spig,PL/SQL",Jornada completa,True,https://www.tecnoempleo.com/analista-programador-java-grupo-digital/java-spring-pl-sql/rf-1ec010dee21ce3e6db46
Ingeniero/a de Testing,Tester,"DOORS,Jia,Jekis",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-testing-gmv/doors-jira-jenkins-sonarqube/rf-37411f36e2f51352eb4f
Tecnico/a de comunicacion (discapacidad),Marketing,Makeig,Jornada completa,False,https://www.tecnoempleo.com/tecnico-comunicacion-discapacidad-page-personnel/marketing/rf-913111e2c20ea3deb741
Technical Leader for GOVSATCOM,Ingenieros/Industria,SATCOM,Jornada completa,False,https://www.tecnoempleo.com/technical-leader-for-govsatcom-gmv/satcom/rf-79e31460225983052e4c
Project Manager Freelance,Jefe de Proyecto,PojecMaage,Jornada completa,False,https://www.tecnoempleo.com/project-manager-freelance-michael-page/project-manager/rf-d9651e8fe26463c88f49
SAP DATA Migration,Migracion de Datos,"SAP,haa",Jornada completa,False,https://www.tecnoempleo.com/sap-data-migration-hays/sap-hana/rf-fdde1cd2a2c783ed7444
HCM Tower BI Lead,Consultor,"BI,MuleSof",Jornada completa,False,https://www.tecnoempleo.com/hcm-tower-bi-lead-axiom-software-solutions/bi-mulesoft/rf-60db10a852c4d3dd8149
BI Specialist,Big Data,"Qlik,SAP,SQL",Jornada completa,False,https://www.tecnoempleo.com/bi-specialist-michael-page/qlik-sap-sql/rf-9fb71f6c22f323d78645
Analista Funcional Java,Analista Programador,"java,spig",Jornada completa,True,https://www.tecnoempleo.com/analista-funcional-java-grupo-digital/java-spring/rf-11d012dfb26f739bc34d
Project Manager,Jefe de Proyecto,PojecMaage,Jornada completa,False,https://www.tecnoempleo.com/project-manager-grupo-digital/project-manager/rf-c6681cfe62b69393e141
Programador/a SR Front-End,Programador,"Agula,HTML,CSS",Jornada completa,True,https://www.tecnoempleo.com/programador-sr-front-end-grupo-digital/angular-html-css-javascript-node/rf-64761698929fd33c2a4c
Tecnico/a Helpdesk,Helpdesk,Helpdesk,Jornada completa,False,https://www.tecnoempleo.com/tecnico-helpdesk-akkodis/helpdesk/rf-72a51f5ce24a932fc449
Becas de verano GMV 2025,Ciberseguridad,"ifomaica,cibeseguidad",Jornada completa,False,https://www.tecnoempleo.com/becas-verano-gmv-2025-gmv/informatica-ciberseguridad/rf-477a172e729cb366f145
Firmware testing,Tester,"Fimwae,jia",Jornada completa,False,https://www.tecnoempleo.com/firmware-testing-axiom-software-solutions/firmware-jira/rf-1c321f06021a43d9804a
Ingeniero/a de Software .NET,Programador,"Ne,C#",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-software-net-gmv/net-c/rf-06231c53525e33a3fd44
Beca Soporte equipo Digital,Diseno grafico,"Makeig,Cava,phooshop",Jornada completa,False,https://www.tecnoempleo.com/beca-soporte-equipo-digital-bnp-paribas/marketing-canva-photoshop/rf-4df21532421713b3be42
Ingeniero/a Desarrollo y automatizacion,Ingenieros/Industria,"PLC,SCADA,C#",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-desarrollo-automatizacion-michael-page/plc-scada-c-python/rf-9cb8175902b583877945
Gestor de Proyectos,Big Data,"daa,PoweBI,Salesfoce",Jornada completa,False,https://www.tecnoempleo.com/gestor-proyectos-michael-page/data-power-bi-salesforce/rf-b42d1bf2d264132bca45
Consultor tecnico Presales MES,Consultor,"SCADA,MES,GMAO",Jornada completa,False,https://www.tecnoempleo.com/consultor-tecnico-presales-mes-michael-page/scada-mes-gmao-aps/rf-d06f15a7b279d393974f
Java Fullstack Engineer,Programador,"java,spig,SQL",Jornada completa,False,https://www.tecnoempleo.com/java-fullstack-engineer-axiom-software-solutions/java-spring-sql/rf-58ca1ea6d2bd43dac445
KYC Enterprise Architect Head,Arquitecto TIC,agile,Jornada completa,False,https://www.tecnoempleo.com/kyc-enterprise-architect-head-michael-page/agile/rf-559e1f116287e3d3164e
CMO,Marketing,Makeig,Jornada completa,False,https://www.tecnoempleo.com/cmo-hays/marketing/rf-ce341dc2022ae390924f
Architect AWS Cloud (Ingles B2-C1),Arquitecto TIC,"aws,ec2,vpc",Jornada completa,False,https://www.tecnoempleo.com/architect-aws-cloud-ingles-b2-c1-barcelona/aws-ec2-vpc/rf-2a2f1dc9a2faa38c5f48
Senior Architect,Arquitecto TIC,"Jekis,GiLab,Kubernetes",Jornada completa,False,https://www.tecnoempleo.com/senior-architect-axiom-software-solutions/jenkins-gitlab-kubernetes/rf-335819e3125ca3931941
Junior Data Engineer,Big Data,"poweCee,Spak,Pyho",Jornada completa,False,https://www.tecnoempleo.com/junior-data-engineer-ey/powercenter-spark-python-java-r-sql/rf-e493179ef2acf3c76c42
Data Analyst,Analista,"Pyho,Spak,ETL",Jornada completa,False,https://www.tecnoempleo.com/data-analyst-sg-tech/python-spark-etl-sql/rf-842a1009c25ef3bf004e
Solution Architect,Arquitecto TIC,DataAchiec,Jornada completa,False,https://www.tecnoempleo.com/solution-architect-axiom-software-solutions/data-architect/rf-56b01ae7c29ae3a8644e
Ingeniero desarrollo de SW/FW,Electronica,"C,C,PLC",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-desarrollo-sw-fw-michael-page/c-c-plc/rf-52601eea124333e0ae41
Tecnico Senior de IBM,Técnico de Sistemas,"IBM,AS/400",Jornada completa,False,https://www.tecnoempleo.com/tecnico-senior-ibm-serbyte-servicios-it/ibm-400/rf-472b1a09622313b02a4f
Manager Technology Risk,Ciberseguridad,"CISA,CISM",Jornada completa,False,https://www.tecnoempleo.com/manager-technology-risk-ey/cisa-cism/rf-a6ef13d93249d3b0864a
Oracle Infrastructure Architect,Arquitecto TIC,oacle,Jornada completa,False,https://www.tecnoempleo.com/oracle-infrastructure-architect-axiom-software-sol/oracle/rf-c6a4168bf2e4531a8145
Producer,Consultor,"mobilegame,jia",Jornada completa,False,https://www.tecnoempleo.com/producer-aristocrat/mobile-game-jira/rf-8e3d157d325ad3cbff4f
Senior Copywriter,Tecnico de Gestion,"makeig,SEO",Jornada completa,False,https://www.tecnoempleo.com/senior-copywriter-michael-page/marketing-seo/rf-577b11aef290d38b4746
Tecnico Informatico,Soporte Tecnico,"Micosof365,Peso,ERP",Jornada completa,False,https://www.tecnoempleo.com/tecnico-informatico-michael-page/microsoft-365-presto-erp-vmware-solidedge/rf-761e1b12e222237d6f44
Network Engineer- L3,Redes,"Cisco,CCNP",Jornada completa,False,https://www.tecnoempleo.com/network-engineer-l3-axiom-software-solutions/cisco-ccnp/rf-840a1792828e3350594e
Outsystems Developer,Programador,"OuSysems,SQL",Jornada completa,False,https://www.tecnoempleo.com/outsystems-developer-axiom-software-solutions/outsystems-sql/rf-679c125cd20853101944
Analista de datos,Analista,"Pyho,SQL",Jornada completa,False,https://www.tecnoempleo.com/analista-datos-page-personnel/python-sql/rf-ce81106aa27d03969540
AWS Security Engineer,Ciberseguridad,"AWS,GDPR,CCPA",Jornada completa,False,https://www.tecnoempleo.com/aws-security-engineer-axiom-software-solutions/aws-gdpr-ccpa/rf-b3591dee422423f5d349
EWM MFS Consultant,Consultor,SAP,Jornada completa,False,https://www.tecnoempleo.com/ewm-mfs-consultant-axiom-software-solutions/sap/rf-9f3b196bb2e843e1744c
Tecnico/a Machine Learning y Simulacion,Inteligencia Artificial/Machine Learning,"pyho,LINUX",Jornada completa,False,https://www.tecnoempleo.com/tecnico-machine-learning-simulacion-nextret/python-linux/rf-e37c134122ee4354004a
Arquitecto de Redes y Sistemas,Arquitecto TIC,"RedIRIS,LAN",Jornada completa,False,https://www.tecnoempleo.com/arquitecto-redes-sistemas-nextret/rediris-lan/rf-f8ad127502eda305004e
Lider Transformacion digital,Consultor,"BI,SAP",Jornada completa,False,https://www.tecnoempleo.com/lider-transformacion-digital-michael-page/bi-sap/rf-10381a4ee28ae3190a47
Campaign Marketing Manager,Marketing,Makeig,Jornada completa,False,https://www.tecnoempleo.com/campaign-marketing-manager-michael-page/marketing/rf-742613f8a291b33ad543
Developer Java / Python bajo UNIX,Programador,"Java,Pyho,UNIX",Jornada completa,False,https://www.tecnoempleo.com/developer-java-python-bajo-unix-sg-tech/java-python-unix/rf-7f46186ef2c753409e48
IT Risk Engineer,Ciberseguridad,"CISSP,CISM,Liux",Jornada completa,False,https://www.tecnoempleo.com/it-risk-engineer-axiom-software-solutions/cissp-cism-linux-windows/rf-61a11f1e322a83139146
Senior Front-End Engineer,Programador,"eac,JavaScip,TypeScip",Jornada completa,False,https://www.tecnoempleo.com/senior-front-end-engineer-the-lab-ventures/react-javascript-typescript-htm/rf-8c7f1f3ec221f37af449
Ingeniero de proyectos,Ingenieros/Industria,IgeieiaIdusial,Jornada completa,False,https://www.tecnoempleo.com/ingeniero-proyectos-hays/ingenieria-industrial/rf-bbcf15aa6257f3b2a341
Data Analyst,Big Data,"SQL,Pyho",Jornada completa,False,https://www.tecnoempleo.com/data-analyst-axiom-software-solutions/sql-python/rf-8a751ec08264a31f1b43
Arquitecto Liferay,Arquitecto TIC,Lifeay,Jornada completa,False,https://www.tecnoempleo.com/arquitecto-liferay-serbyte-servicios-it/liferay/rf-36a21286026293aea949
PMO PM SAP,Jefe de Proyecto,Micosof365Suie,Jornada completa,False,https://www.tecnoempleo.com/pmo-pm-sap-axiom-software-solutions/microsoft-365-suite/rf-a22715a5d2419360f947
Ingeniero/a Mejora Continua,Ingenieros/Industria,"Lea,SixSigma,Kaize",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-mejora-continua-hays/lean-six-sigma-kaizen/rf-d34817ec923153c6fd47
Temenos Consultant,Consultor,"Temeos,SQL,java",Jornada completa,False,https://www.tecnoempleo.com/temenos-consultant-axiom-software-solutions/temenos-sql-java/rf-290b1901f22343c83848
Senior IAM Architect,Técnico de Sistemas,"IAM,SSO,LDAP",Jornada completa,False,https://www.tecnoempleo.com/senior-iam-architect-axiom-software-solutions/iam-sso-ldap-azure/rf-0ab6121aa2e5b3eda140
Service Delivery Manager,Consultor,"ITIL,ITSM",Jornada completa,False,https://www.tecnoempleo.com/service-delivery-manager-michael-page/itil-itsm/rf-29b41b4df29f4339d542
Project Manager Senior,Jefe de Proyecto,PojecMaage,Jornada completa,False,https://www.tecnoempleo.com/project-manager-senior-hays/project-manager/rf-2cee1274822e23d10f42
Data Scientist IA Generativa,Inteligencia Artificial/Machine Learning,"Pyho,TesoFlow,PyToch",Jornada completa,False,https://www.tecnoempleo.com/data-scientist-ia-generativa-deloitte/python-tensorflow-pytorch/rf-93311b5b82ec138da34f
Test Manager/ Lead,Analista,"PoweBI,Tableau,Posma",Jornada completa,False,https://www.tecnoempleo.com/test-manager-lead-axiom-software-solutions/power-bi-tableau-postman/rf-c0f41418028163c0514d
Ingeniero/a de Firmware,Programador,"C,C#,java",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-firmware-gmv/c-c-java/rf-9e33138cd21f43e4744c
Software Engineer Java,Programador,"java,Hibeae,Jakaa",Jornada completa,False,https://www.tecnoempleo.com/software-engineer-java-axiom-software-solutions/java-hibernate-jakarta-spr/rf-bbd4132372b5a3002f4a
Back-End Developer,Programador,"e,SQL",Jornada completa,False,https://www.tecnoempleo.com/back-end-developer-serbyte-servicios-it/net-sql/rf-c473194aa2d383f53640
Programador ASP/NET,Desarrollador Web,"C#,ASP.NET,.NETCoe",Intensiva Manana,False,https://www.tecnoempleo.com/programador-asp-net-agrodevices/c-aspnet-net-core-html5-css3-javascript-bl/rf-c4481a4fe2bc332b1b4d
Firmware testing,Tester,"jia,esig",Jornada completa,False,https://www.tecnoempleo.com/firmware-testing-axiom-software-solutions/jira-testing/rf-2b1e1a8062a123ead545
Senior Backend Developer,Analista Programador,"java,sql,aws",Jornada completa,False,https://www.tecnoempleo.com/senior-backend-developer-axiom-software-solutions/java-sql-aws-azure-sprin/rf-89c11f0b52b9730bd047
Data Analytics Specialist,Analista,"poweauomae,poweApps,ShaePoi",Jornada completa,False,https://www.tecnoempleo.com/data-analytics-specialist-trigyn-technologies/power-automate-power-apps-sh/rf-443318c172a9b3bc0e40
Firmware Lead,Jefe de Equipo,"jia,esail",Jornada completa,False,https://www.tecnoempleo.com/firmware-lead-axiom-software-solutions/jira-testrail/rf-6ec01561722c53bf0546
Administrador/a Sistemas Senior,Administrador,"Nebackup,EMC,DELL",Jornada completa,False,https://www.tecnoempleo.com/administrador-sistemas-senior-cmv-consultores/netbackup-emc-dell-wmware-vs/rf-8c9c1726624fd3a7ea4e
Software Engineering Manager,Analista Programador,"Java,REST,API",Jornada completa,False,https://www.tecnoempleo.com/software-engineering-manager-solera/java-rest-api-git-ci-cd-hibernate-dock/rf-74ea1de742a2837bf14b
Senior Backend Developer,Desarrollador Web,"java,oacle,gi",Jornada completa,False,https://www.tecnoempleo.com/senior-backend-developer-axiom-software-solutions/java-oracle-git-spring-b/rf-1dd316cdf2c603c56347
Scrum Master,Jefe de Equipo,"scum,lea,kaba",Jornada completa,True,https://www.tecnoempleo.com/scrum-master-krell-consulting-training/scrum-lean-kanban-java-javascript-j/rf-bbd814a822f4737e6642
Administrador/a de sistemas y datos,Administrador,"Widows,Micosof365,PoweBI",Jornada completa,False,https://www.tecnoempleo.com/administrador-sistemas-datos-homs-rentals/windows-microsoft-365-power-bi-s/rf-97cd1328924d7314c141
Consultor/a de Gestion del Cambio IT,Jefe de Proyecto,"Tickeig,SeviceNow,Remedy",Jornada completa,True,https://www.tecnoempleo.com/consultor-gestion-del-cambio-it-pss/ticketing-servicenow-remedy-infraestru/rf-47fd1fbb12338364c54f
Desarrollador back-end Java,Programador,"java,sql",Jornada completa,False,https://www.tecnoempleo.com/desarrollador-back-end-java-icaria-technology/java-sql/rf-c2021e4e12eca3606c4c
Senior Data Engineer Azure/Databricks,Base de Datos/DBA,"pyho,azue,daa",Jornada completa,True,https://www.tecnoempleo.com/senior-data-engineer-azure-databricks-baoss/python-azure-data-spark-scala-/rf-3c2010b082cbf383b147
Data Engineer,Big Data,"daa,Pyho,SQL",Jornada completa,False,https://www.tecnoempleo.com/data-engineer-madrid/data-python-sql/rf-77741861e277032bea49
Administrador Linux,Administrador,"Linux,padoa,sql",Jornada completa,False,https://www.tecnoempleo.com/administrador-linux-trs-staffing-solutions/linux-pandora-sql-windows/rf-eeae1052823e33106645
Scrum Master,Jefe de Equipo,scum,Jornada completa,False,https://www.tecnoempleo.com/scrum-master-krell-consulting-training/scrum/rf-61821f4c821263267e49
AI Engineer,Inteligencia Artificial/Machine Learning,"Pyho,EKS",Jornada completa,False,https://www.tecnoempleo.com/ai-engineer-axiom-software-solutions/python-eks/rf-64d71eae724173ae264a
Arquitecto/a de Seguridad Cloud,Arquitecto TIC,AWS,Jornada completa,False,https://www.tecnoempleo.com/arquitecto-seguridad-cloud-michael-page/aws/rf-74c612902257a38ddc4b
Java Springboot + React Developer,Programador,"java,spig,eac",Jornada completa,False,https://www.tecnoempleo.com/java-springboot-react-developer-plexus/java-spring-react/rf-3d591ea0f21e2382934b
Marketing manager,Marketing,"Shopify,Klaviyo,GoogleAalyics",Jornada completa,False,https://www.tecnoempleo.com/marketing-manager-page-personnel/shopify-klaviyo-google-analytics-meta-ads/rf-d74d1076c23c53867c4e
IT Operations engineer,Programador,"Node,Pyho,java",Jornada completa,False,https://www.tecnoempleo.com/it-operations-engineer-axiom-software-solutions/node-python-java/rf-67dc1e5d8236c356e34c
Front End Developer,Programador,"Reac,JSES6,Gi",Jornada completa,False,https://www.tecnoempleo.com/front-end-developer-aristocrat/react-js-es6-git/rf-0ae11de2628423181046
Programador Python y Pyspark,Programador,"pyho,pyspak",Jornada completa,False,https://www.tecnoempleo.com/programador-python-pyspark-grupo-ns/python-pyspark/rf-5cec164f72a913fd204b
FullStack Engineer,Programador,"e,C#,ASPNET",Jornada completa,False,https://www.tecnoempleo.com/fullstack-engineer-michael-page/net-c-asp-net/rf-343d108cb26493eb584d
Consultor/a Oracle ERP Cloud,Base de Datos/DBA,"OacleERPCloud,jia",Jornada completa,False,https://www.tecnoempleo.com/consultor-oracle-erp-cloud-hays/oracle-erp-cloud-jira/rf-045a1c52620d633a9b4b
Senior Production Support,Consultor,"java,agile,SeviceNow",Jornada completa,False,https://www.tecnoempleo.com/senior-production-support-axiom-software-solutions/java-agile-servicenow/rf-1783136f52fad3db8a4c
Ciberseguridad,Ciberseguridad,SIEM,Jornada completa,False,https://www.tecnoempleo.com/ciberseguridad-hays/siem/rf-83241e90426cf3c99f42
Azure Data Engineer,Big Data,"azue,SQL,Pyspak",Jornada completa,False,https://www.tecnoempleo.com/azure-data-engineer-axiom-software-solutions/azure-sql-pyspark/rf-3506122d12b6a397a241
Technical Project Manager,Jefe de Proyecto,jia,Jornada completa,False,https://www.tecnoempleo.com/technical-project-manager-axiom-software-solutions/jira/rf-06b815b8b257f318eb4f
Senior UX Designer,Desarrollador Web,"UX,wiefame",Jornada completa,False,https://www.tecnoempleo.com/senior-ux-designer-oracle/ux-wireframe/rf-62aa188b72c3a3b46a4c
Desktop Support Technician,Soporte Tecnico,"SeviceNow,ITIL,Micosof",Jornada completa,False,https://www.tecnoempleo.com/desktop-support-technician-axiom-software-solution/servicenow-itil-microso/rf-3ab7185b727773cc774a
BA Teamcenter configuration,Tecnico Software,Teamcee,Jornada completa,False,https://www.tecnoempleo.com/ba-teamcenter-configuration-axiom-software-solutio/teamcenter/rf-247f188b1296531c0d43
Ingeniero/a de vigilancia y seguimiento,Programador,"Pyho,Bash,Java",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-vigilancia-seguimiento-gmv/python-bash-java-c/rf-8f5e1c0892643389ac4f
Data Governance Expert,Big Data,"SQL,NoSQL,ETL",Jornada completa,False,https://www.tecnoempleo.com/data-governance-expert-axiom-software-solutions/sql-nosql-etl-ai-act-gdpr/rf-2f1c13c39267b39ac94a
Senior SAP FICO,Consultor,"SAP,Odoo",Jornada completa,False,https://www.tecnoempleo.com/senior-sap-fico-michael-page/sap-odoo/rf-541c1d47e253632b9147
Network Lead Architect,Redes,"Cisco,F5,PaloAlo",Jornada completa,False,https://www.tecnoempleo.com/network-lead-architect-accenture/cisco-f5-paloalto/rf-2aca172bf28ec359084b
Solution Architect - Oracle Consulting,Arquitecto TIC,"Oacle,OCI",Jornada completa,False,https://www.tecnoempleo.com/solution-architect-oracle-consulting-oracle/oracle-oci/rf-778410e1e2cfa3e50c4f
Functional Analyst,Analista,"SQL,Pyho",Jornada completa,False,https://www.tecnoempleo.com/functional-analyst-amazon/sql-python/rf-54f019e2c27cf3fb4442
React Frontend Developer,Programador,"Reac,NexJS,Tailwid",Jornada completa,False,https://www.tecnoempleo.com/react-frontend-developer-hays/react-nextjs-tailwind-javascript/rf-3f46119b02bd332ce740
Tecnico Comercial Junior,Comercial,comecial,Jornada completa,False,https://www.tecnoempleo.com/tecnico-comercial-junior-page-personnel/comercial/rf-475b139c528093becf44
Desarrollador .NET,Programador,"e,C#,ASPNET",Jornada completa,False,https://www.tecnoempleo.com/desarrollador-net-sg-tech/net-c-asp-net/rf-4c221e93926c434dff48
Analista Programador senior Cobol,Programador,cobol,Jornada completa,False,https://www.tecnoempleo.com/analista-programador-senior-cobol-sg-tech/cobol/rf-9e5917ec42caa3922042
Applications Support Specialist,Técnico de Sistemas,"AWS,Micosof365",Jornada completa,False,https://www.tecnoempleo.com/applications-support-specialist-michael-page/aws-microsoft-365/rf-c40417cd22226358c54b
Power Automated Developer,Inteligencia Artificial/Machine Learning,PoweAuomae,Jornada completa,True,https://www.tecnoempleo.com/power-automated-developer-axiom-software-solutions/power-automate/rf-046d11e01299e3c04546
Desarrollador .NET,Programador,"e,C#",Jornada completa,False,https://www.tecnoempleo.com/desarrollador-net-sg-tech/net-c/rf-d5da1476027cc38f5244
Ingenieria de Produccion,Ingenieros/Industria,Igeieiaidusial,Jornada completa,False,https://www.tecnoempleo.com/ingenieria-produccion-michael-page/ingenieria-industrial/rf-5dbb1f8a62a0c36bec4b
Software Engineer,Programador,Pyho,Jornada completa,False,https://www.tecnoempleo.com/software-engineer-ebury/python/rf-fdd311c622ed037a5e4d
Programador/a Liferay 7.4,Programador,"Lifeay,Java,HTML",Jornada completa,True,https://www.tecnoempleo.com/programador-liferay-74-sg-tech/liferay-java-html-css-javascript/rf-aebc161402936395414a
Ingeniero/a datos Devops,Big Data,"Pyho,Spak,SQL",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-datos-devops-gmv/python-spark-sql/rf-2dd11d8752aa13921144
Desarrollador ASP.NET,Programador,ASPNET,Jornada completa,False,https://www.tecnoempleo.com/desarrollador-aspnet-michael-page/asp-net/rf-3f71179a723d3333294d
Product Owner,Responsable de Producto,Agile,Jornada completa,False,https://www.tecnoempleo.com/product-owner-aristocrat/agile/rf-895912d8923e0358e642
Business Analyst,Analista,"Excel,Access,SQL",Jornada completa,False,https://www.tecnoempleo.com/business-analyst-michael-page/excel-access-sql-powerbi/rf-c83c1013d26c53c91d45
"Senior DevOps Engineer (PCE, IBP, Payro",DevOps,"Teafom,Asible,AWS",Jornada completa,True,https://www.tecnoempleo.com/senior-devops-engineer-pce-ibp-payro-axiom-softwar/terraform-ansible-aws-g/rf-95be162e4290a3e8ef45
Desarrollador/a de .NET M/F,Programador,"NET,COBOL",Jornada completa,False,https://www.tecnoempleo.com/desarrollador-net-m-f-akkodis/net-cobol/rf-996313d6d23963fd4e41
Senior Backend Software Engineer,Programador,"REST,OpeAPI",Jornada completa,False,https://www.tecnoempleo.com/senior-backend-software-engineer-talan/rest-openapi/rf-54ab1125c22903fcff4d
Technical Project Manager,Jefe de Proyecto,"Agile,PMP",Jornada completa,False,https://www.tecnoempleo.com/technical-project-manager-aristocrat/agile-pmp/rf-4ff51085c27c532f704c
IT PL/SQL Developer,Programador,"PL/SQL,PLSQL",Jornada completa,False,https://www.tecnoempleo.com/it-pl-sql-developer-axiom-software-solutions/pl-sql-plsql/rf-904c1b73a200531cee42
Front End AI Engineer,Inteligencia Artificial/Machine Learning,"Reac,Agula,Vue",Jornada completa,False,https://www.tecnoempleo.com/front-end-ai-engineer-axiom-software-solutions/react-angular-vue-typescrip/rf-2ade1032a2bba3a5104c
FMCG Marketing Director,Marketing,Makeig,Jornada completa,False,https://www.tecnoempleo.com/fmcg-marketing-director-michael-page/marketing/rf-ab431d39c2a773b58a41
Junior Java Architect,Arquitecto TIC,"java,J2EE,Spig",Jornada completa,False,https://www.tecnoempleo.com/junior-java-architect-page-personnel/java-j2ee-spring/rf-a4551f2ae2236308514d
Business Analyst - ETF & Credit Trading,Analista,Agile,Jornada completa,False,https://www.tecnoempleo.com/business-analyst-etf-credit-trading-axiom-software/agile/rf-45781dbe92d453832d49
SAP Successfactors Consultant,Consultor,"SAP,Successfacos",Jornada completa,True,https://www.tecnoempleo.com/sap-successfactors-consultant-plexus/sap-successfactors/rf-b6a71ac8a20b83246045
Platform Senior DevOps Engineer,DevOps,"AWS,SAP,Asible",Jornada completa,True,https://www.tecnoempleo.com/platform-senior-devops-engineer-axiom-software-sol/aws-sap-ansible-chef/rf-bc9a1579525bf317414e
RPA / Programador/a Junior,Programador,"UiPah,JPA",Jornada completa,False,https://www.tecnoempleo.com/rpa-programador-junior-page-personnel/uipath-jpa/rf-04c01ae732dd03fb8344
Consultor/a Especialista en DocuWare,Consultor,"DocuWae,SQL",Jornada completa,False,https://www.tecnoempleo.com/consultor-especialista-en-docuware-michael-page/docuware-sql/rf-c7ec19c6e24ff3472b47
Ingeniero/ Devops Junior,DevOps,AWS,Jornada completa,False,https://www.tecnoempleo.com/ingeniero-devops-junior-sg-tech/aws/rf-c0741ec5f2d3f325044f
Pharma Data and AI Regulatory Expert,Big Data,"Data,AI",Jornada completa,False,https://www.tecnoempleo.com/pharma-data-and-ai-regulatory-expert-axiom-softwar/data-ai/rf-b41b1b74724ac38d6c49
Full Stack Engineer,Programador,"java,spig,JavaScip",Jornada completa,False,https://www.tecnoempleo.com/full-stack-engineer-axiom-software-solutions/java-spring-javascript/rf-d74213dca22ab3a8594b
NOC Engineer,Operador,"Micosof,SQL",Jornada completa,False,https://www.tecnoempleo.com/noc-engineer-aristocrat/microsoft-sql/rf-d861160c921d53d5764c
Data Engineer,Big Data,"Pyho,azue,PoweBI",Jornada completa,False,https://www.tecnoempleo.com/data-engineer-axiom-software-solutions/python-azure-power-bi/rf-02de171b922e03e2474f
Desarrollador Power Platform,Programador,PowePlafom,Jornada completa,False,https://www.tecnoempleo.com/desarrollador-power-platform-page-personnel/power-platform/rf-dfa71c2c422c73e9b946
Data Analyst,Big Data,"Pyho,Pyspak,QlikSese",Jornada completa,False,https://www.tecnoempleo.com/data-analyst-talan/python-pyspark-qliksense/rf-afe11415f28ef3718144
Accounting Notes Senior Support,Tecnico Software,visualNe,Jornada completa,False,https://www.tecnoempleo.com/accounting-notes-senior-support-axiom-software-sol/visual-net/rf-5958131872d6a3fbd148
Principal Software Engineer,Programador,"Pyho,Jekis,Teafom",Jornada completa,False,https://www.tecnoempleo.com/principal-software-engineer-ebury/python-jenkins-terraform/rf-55c01e77e276130c5547
Murex Datamart Developer,Programador,"muex,SQL",Jornada completa,False,https://www.tecnoempleo.com/murex-datamart-developer-axiom-software-solutions/murex-sql/rf-ea381a0b5261633d8743
MLOps Machine Learning,Inteligencia Artificial/Machine Learning,"machieleaig,MLOps,Spak",Jornada completa,True,https://www.tecnoempleo.com/mlops-machine-learning-grupo-digital/machine-learning-mlops-spark-kubeflow/rf-6383102b8204a31cf44d
SAP HCM consultant,Consultor,"SAP,SAPHCM",Jornada completa,True,https://www.tecnoempleo.com/sap-hcm-consultant-plexus/sap-sap-hcm/rf-107d1b2372e083b50d4e
Programador/a Senior Salesforce,Programador,"Salesfoce,APEX",Jornada completa,False,https://www.tecnoempleo.com/programador-senior-salesforce-sg-tech/salesforce-apex/rf-7520179e42d733b11c42
Fullstack Developer,Programador,"Spak,Scala",Jornada completa,False,https://www.tecnoempleo.com/fullstack-developer-talan/spark-scala/rf-5b71163ea23e63fadb4b
Programador/a Angular,Programador,"agula,Typescip",Jornada completa,True,https://www.tecnoempleo.com/programador-angular-sg-tech/angular-typescript/rf-d86e1adcd2a373c96d4a
ActiveViam Developer,Consultor,"QlikSese,SQL",Jornada completa,False,https://www.tecnoempleo.com/activeviam-developer-axiom-software-solutions/qliksense-sql/rf-c32a140a52a6e373904d
Developer,Programador,"Pyspak,Pyho,SQL",Jornada completa,False,https://www.tecnoempleo.com/developer-axiom-software-solutions/pyspark-python-sql/rf-00bf10ff221a739ccd43
Software Developer - fresh graduate,Programador,"Java,C#,Pyho",Jornada completa,False,https://www.tecnoempleo.com/software-developer-fresh-graduate-oracle/java-c-python-kotlin-sql/rf-778d17384239230af749
Ingeniero/a de Sensores Pasivos RF,Electronica,"SST,STM",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-sensores-pasivos-rf-gmv/sst-stm/rf-e3151a3122c1039e5e40
